Review
"hadeh, pas mau login lagi malah suruh verif 2 langkah abis itu silahkan izinkan pada perangkat terkait padahal itu lagi login di 1 perangkat yg sama😂"
"Stockbit semakin didepan.. Aplikasi broker lokal paling user friendly dengan fitur yang lumayan lengkap. Saran saya sebaiknya fitur trailing stop ada pengaturan tambahan untuk logika pengaktifannya, If price > or < baru otomatis aktifkan fitur TS, alasannya agar bisa diatur ketika posisi P/L masih minus"
"Stockbit awalnya bagus, tapi akhir"" ini sering ada bug misalnya mau sell saham yang ada di portofolio tapi ga bisa padahal udah jelas ada 1-10 lot tapi saat mau sell malah tertulis 0 available lot. Tolong perbaiki bug min🙏"
"untuk fitur insider bisa diperbarui nggak sih lebih ringkas misalnya status pemberian dari satu nama dan tanggal terakhir dia melakukan aksi jual atau beli selebihnya tinggal ada dropdown atau gulir ke bawah baca satu persatu insider rasanya matanya bikin sakit aja kalau insider nya cuma 3 orang dan masing-masing satu transaksi sih nggak ada masalah, lah di 1 saham ada lebih cari 2 orang atau institusi yang melakukan transaksi beli atau jual secara terus-menerus kan jadi capek."
"mohon di perbaiki, masa setiap kali update aplikasi kita gak bisa masuk, di bilang sandi salah inilah itulah.... padahal udah bener, setelah di update baru bisa masuk, huft"
"Aplikasinya bagus, mudah dimengerti. tapi tolonglah untuk bisa langsung withdraw jadi ga perlu tunggu 3 hari. seperti aplikasi lampu Aladin. jadi lebih enak masuk dan keluarnya uang. pas dibutuhkan jadi bisa langsung cair."
"udah deposit tapi dananya gamasuk. Halo, terkait deposit yang masih pending/belum masuk, ini disebabkan adanya sedikit kendala dari sisi Bank Penerima. Kendala tersebut sedang diperbaiki secepatnya. Untuk saat ini, kamu sudah bisa melakukan deposit dana baru jika ada keperluan untuk Top Up segera. Dana deposit yang pending nanti akan masuk setelah perbaikan. Saat ini dari Bank Penerima belum dapat memberikan estimasi waktu. Mohon maaf atas ketidaknyamannya. Terima kasih🙏🏻"
"sebetulnya sekuritas ini cukup bagus bisa dikatakan banyak plus nya daripada minusnya, karena yang menjadi minusnya adalah fitur yang menjadi andalan dan pembeda dari sekuritas yang lainnya, yaitu fitur stream nya,. andai saja pihak developer dapat memberikan opsi untuk menonaktifkan fitur stream itu,. karena kebanyakan dari streamer tersebut toxsik dan minim pengetahuan soal literasi investasi dan keuangan dia berbicara berdasarkan cocokmologi tanpa ada dasar pengetahuannya,."
"tolong perbaiki bug utk virtual account. ada byk sekali bug saat sdg latihan. mis, mau beli tp direject padahal saldo masi cukup. mau jual kdg gk bs batal, dan malah gk kejual padahal harga tsb sdh masuk ke bid order. mau ganti harga jual pun kdg gk bs, di reject lgi. tolong betulkan bugnya. kalo gini trus, org mau latihan main pun susah"
"deposit bisa wd gak bisa, alasanya data tidak valid, kalo emang gak valid harusnya gak bisa deposit juga dong, masak deposit bisa giliran mau wd malah di permasalahkan datanya, terus kalo gak di apload pengkinian datanya bakal di blokir akun nya, ni sih metode penipuan udh jatuh nya,"
"Tambahkan fitur penanda abu2 di detail orderan seperti app IP*T PC dong team. Sebagai catatan: penanda abu2 ini berfungsi untuk mengetahui order pasif & aktif (HAKA/market order, fast order, dkk). Saya yakin ini akan bikin Stockbit makin unbeaten, tidak masalah jika perlu minimal saldo tertentu seperti Broker Flow."
"sengaja sy kasi bintang 5 supaya cepat ditanggapi. aplikasi sekuritas ni terlalu banyak berbelit2, deposit cepat withdrawal nya seminggu,nambahkan rekening perlu seminggu,ngga bisa wd pakai rekening pertama. mending pakai apk sekuritas lain aja"
"tampilan layar yg sebelumnya sudah bagus, sekarang dirubah menjadi lebih renggang sehingga jumlah emiten yg bisa dilihat menjadi berkurang, ini sangat tidak nyaman, dari 15 emiten menjadi 12 emiten yg bisa dilihat dalam 1 tampilan layar, berharap bisa dikembalikan spt semula"
"jujur kecewa seh, yang awalnya lancar2 aja saat top up dana ke stockbit, tapi sekarang udah 12 jam, uang saya belum masuk jugaa.. dan jawabannya hanya bersabar dan cek terus d aplikasi.. pliss mau sampai kapan.. masalah nya besok sabtu bursa libur.. terus uangnya gmana??"
"Harapan saya, mungkin bisa di tambahkan pada menu tradebook utk transaksi per menit dan per 5 menit. Terimakasih Stockbit, menu dan fitur nya yang ada sangat membantu sekali"
kenapa daftarnya ribet harus tanya jago juga. mau daftar jg gak bisa pernah daftar dulu. di jago kalo dah pernah daftar trs rekening dormant gak bisa daftar lagi. otomatis gak bisa pake stockbit. sekelas stockbit ini harusnya diperbaiki dg cepat atau tambahkan bank lain yang bisa buat rekening lagi
"bintang 5 buat STOCKBIT TERSAYANG deh😁.. ini kalo bisa 20 saya kasih, Selama saya memakai aplikasi ini jujurly tidak ada kendala apapun itu review jujur. Pokonya mantap buat stockbit selalu berkembang terus broker UI nya paling pas buat pemula sampe pro juga 🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟"
"Aslinya bagus ini aplikasinya, izinnn memberi saran ya min stock, aplikasi ini kan ada stream nya ya tolong dong kasih bot pendeteksi gitu biar kalau ada komentar yang aneh² bisa langsung dihapus, misalnya postingan promosi grup saham, pompom harga, nge fear saham, plis stockbit jadikan stream ini sebagai sarana informasi ² tentang saham bukan sarana tempat jud*, karena banyak sekali orang yg menggunakan untuk promosi saham yg sebenarnya tidak bagus(gorengan), Terimakasih 🙏"
"Hai admin, saya menyukai aplikasi ini karena membantu saya dalam me-manage uang dsb. dan dari tampilan dsb, aplikasi ini sangat mudah digunakan bahkan untuk saya yang pemula. hanya saja, saya ingin memberi masukan kepada admin dan developer. untuk menu stream, lebih baik di matikan aja. jujur, fitur itu gak berguna sama sekali, malah terbilang sangat merugikan. sekian terimakasih🙏"
"byk masalah yg tdk bisa di atasi..apalagi hanya mengandalkan chat dgn AI..CS yg sangat buruk dari stockbit... problem yg blm di atasi : 1. saldo tdk msuk ke trading balance setelah cancel order dgn metode Limit If Touched 2. Inet-R beli dan tebus tp jg blm masuk porto dan ini sudah 3 harian lo.. 3. akun ku di mute krena di anggap spam ,sudah mengajukan pernyataan lewat email jg tdk ada tanggapan dari pihak stockbit.."
"cukup menyenangkan,,karena bisa belajar lebih rinci lagi tentang investasi,, walaupun saya belum memulai untuk membeli saham...dan ya mungkin belum paham sepenuhnya,,sedang mencari timing yang tepat"
gimana sih gua mau masuk terus verifikasi ke 2 yah susah terus ga muncul terus notifikasiyah katayah suruh ijinkan tapi ga muncul terus notifikasi ijinkanyah di suruh di screenshot tapi ada tulisan tidak bisa karena kebijakan keamanan why aneh
"bagus, detail, rapi dan jelas kekurangan hanya orderbook tidak ada broker distribusi, dan tidak bisa beli crypto. plus minus dari ajaib sekuritas"
"apk nya bagus sebenernya tapi dengan keadaan sekarang yang kalo verifikasi lama banget, tolong di percepat,udah 3 hari nga siap² , mohon di percepat lagii min ni Bintang 5"
"aplikasi enteng banget, terus gampang digunakan dan banyak fitur-fiturnya juga. jadi GK usah repot-repot buka aplikasi lainnya untuk melihat atau mengecek berita dan data. nice lah"
"Aplikasinya sangat baik,. namun sayangnya untuk lihat pergerakan harga saham hanya bisa max 5 tahun kebelakang. saran saya mungkin bisa ditambahkan jadi 10 tahun. supaya kita bisa cek betul² kesehatan keuangan satu emiten"
"kekurangan tidak muncul otomatis grafik ma, ema, boll, ris, dan maci, seperti punya bni scuritas. seandainya itu ada sudah super best stockbit."
"bagus sih untuk pemula mudah untuk dipahami, cuman untuk withdraw nya lohh yg lama banget masuk kekantong RDN nya, tolong lah stockbit jngn lama2 proses masuk ke RDN, deposit luar biasa banget cepat, mau narik lama amat."
"Sekuritas paling mantap mudah dipakenya, itung² an jelas semua ada laporan. Setiap emiten yg qta beli dan jual dari awal gabung semua ada catatannya pokoknya paling top"
"Sebagai pemula di dunia saham, Stockbit ngebantu banget! UI-nya bersih dan nggak bikin bingung. Fitur Stockbit Academy-nya juara buat belajar dari nol, gratis pula. Proses buka rekening RDN juga cepet banget. Rekomendasi banget buat yang baru mau mulai investasi!"
pertama kali coba mau WD susah bgt dan sudah mengikuti menunggu 3 hari kerja gak tau nya di perpanjang lagi nunggu sampe masuk ke saldo.. udh laporan ke cs nya masih ga ada perubahan berganti cs tanggapan nya masih sama cuma bisa cek TO dan ga mampu mengubah agar sy bisa cepat melakukan penarikan dana. gak bagus ni cs nya
"cara daftar mudah, verifikasi cepat dan akurat, aplikasinya sangat informatif, sangat membantu retail, semoga nantinya Stockbit punya server sendiri biar ga kendor pas trafic puncak. layak bintang ini aplikasinya sejuta investor retail. Stockbit versi mobile terbaik 👍 jauh diatas sekuritas kompetitornya. mantap, lanjutken 🚀"
bagus fitur - fitur mudah di pahami dan dicoba digunakan semoga bisa menjadi tempat buat cari cuan stockbit semangat💪
"coba perhitungan data Fee saya dibuat dulu yg benar per 3 bulan atau per bulan itu di tagihan, Krn setiap bulan saya beda jgn Krn kena sekali kena terus padahal transaksi gak sampai"
"akhirnya akun gw ga bisa masuk deposit bisa masuk tuh 20rb coba beli saham yg kecil2 ga bisa mungkin waktunya salah ok deh besok beli eh tetep ga bisa WD donk loh koq ga bis WD ehhmmmm bikin laporan respon nya besok nya gokil anjir alesan akun gada detail kesalahan apa malah akun ilang untung 20rb coba kemaren depo allin 100juta ilang itu.,,hati2 guys tarik semua deposit lu distokbit lagi cari mangsa yg deposit nya dibawah sejuta bisa ilang akun lu trus dipaksa hapus akun"
"saya pas login, harus mengijinkan device hp untuk membuka persetujuan login perangkat baru, padahal saya menggunakan hp yang sama, akunya juga sama, Ada solusi"
"Login di bibit bisa, login di stockbit gabisa, gatau knp disuruh verifikasi perangkat baru pdhl hp sama, tapi kode gk masuk2. Uninstall dah"
"enak di pakai,tolong perbaiki juga akun demo,banyak banget bug di akun demo plissss biat belajar jadi gabisa"
"aplikasi nya bagus, gampang sekali untuk trade saham, dipandang enak, diaplikasikan mudah"
"Aplikasi udh bagus tapi sayang belum bisa mode landscape, bisa pakai mode landscape bagus banget buat pengguna tablet."
saya nilai untuk Versi App Desktop Window . setelah Update pada Chartbit - Indicators pada Value 20 tidak bisa lagi update otomatis lagi . harus manual Reftres halaman baru bisa terupdate Value 20 nya
"Akun Virtual beresin dulu, aneh banget mau sell aja ga bisa bisaa. Sell diharga Bid aja malah tulisannya OPEN. Aneh emang. Ga niat buat kasih kesempatan orang buat belajar saham apa gimanee"
"semoga kedepannya bisa lebih baik lagi meski sudah baik dari aplikasi trading yang lain, antar muka yang mudah digunakan, fitur dan data lengkap. mantabs"
untuk fitur keamanan apakah bisa di tambahkan. mempermudah orang yang pelupa ketika mau login ke akun stockbeat.
"update terakhir, di fitur broker flow kalau setting di tanggal tertentu malah eror. hanya bisa menampilkan daily terakhir saja. mohon segera di perbaiki."
Kenapa skrg bukanya jd lebih lama dan tampilan watchlist jadi besar icons nya gk bisa diseting hanya size font buat jadi gk enak dilihat
"Bug, push notification ga muncul di android 16 patch maret device pixel 6a, masa iya diminta relog harus masukin nik rekening dll ulang"
"Aplikasi Cepat dan Mudah, cuman klo udah running trading biasa agak lambat. mungkin perlu dioptimasi lagi aplikasinya"
"Kendala verifikasi sekuritas yang tak kunjung ada solusi, sudah 4 kali submit ulang data tapi tetep aja gagal verifikasi. Sudah foto selfi e-ktp ulang juga, tapi masih tetap saja gagal verifikasi. nama rekening RDN jago pun juga sudah sesuai dengan E-KTP, tapi tetap saja gagal verifikasi ""Pastikan nama rekening Jago kamu sudah sesuai,Jika belum sesuai mohon untuk melakukan pengkinian nama rekening nama rekening jago"". Astagaa tolong solusinya donggg."
"terimakasih stockbit, telah memberikan pengalaman investasi yang terbaik, beda dari broker manapun yg saya temui, di stockbit ini semuanya sangat simpel dan mudah dipahami, sehingga pemula yg baru terjun ke dunia investasi pun bisa melakukan investasi dengan mudah di aplikasi ini, terimakasih stockbit👍🏻"
sekuritas bagus banget gampang sekali di pake.. tapi masih ada yang kurang KLO boleh tambah fitur broker summary..!!!? kita bisa lihat broker mana beli saham A b c KLO sudah tambah fitur saya kasih 🌟
Aplikasi yang bermanfaat untuk memantau aktivitas saham dan lain2. Analisa yang baik serta pas. Semoga bisa selalu berguna bagi saya. Terima kasih
"selamat malam min,min saya mau tanya.tadi kan saya sudah transfer uang ke rekening stockbit,tetapi kenak di dalam rekening tersebut uangnya belum bertambah.tolong responnya ya min🙏"
"Verifikasi Lama, 3 hari masih ga beres, Ga jelas. Di sekuritas lain daftar lancar lancar aja"
lama banget verifikasi nya udan 1 mingguan lebih tapi masih belum selesai² tolong ya min di benerin lagi masalah nya🙏
"semoga kedepannya lebih baik,saya berharap bisa akses Crypto juga,saya gonta ganti aplikasi sygnya saya udh syg ama ui stockbit,apalagi ajaib alpha alamakkkk ramainyaaaa pusing"
sudah daftar dan sewaktu login tak bisa ..bolak balik user dan password salah ..kecewa baru mau pertama pakai ...
"ribet,respon cs lama perbaiki data perbaiki data udah di benerin nama di jago nya tetep ga bisa,yg di notif perbaiki nama dan email tapi yg bisa diubah cuma sata pekerjaaan"
"bintang 3 dulu, semoga update selanjutnya bisa mode desktop di tablet android atau setidaknya mode lanskap, teruslah berkembang"
"Verifikasi lama banget yaa... udah lebih dari 3 hari masih belum selesai... melewati batas yang ditentukan, CS tolong respon dengan cepat"
aplikasinya bagus dan sangat membantu buat saya. terimakasih banyak. dan adminya cepat respont membantunya ke pada investor nasabah.👍👍👍
"bug di trusted device.kirim kode lewat sms,wa,email setelah isi kode,tombol lanjut tidak respon."
"beberapa hari ini mau login susah,padahal saya menggunakan hp yg sama seperti pertama kali saat daftar stockbit, aplikasi mendeteksi hp yg digunakan adalah hp baru."
"fiturnya blm mendalami tapi sekilas bagus. kekurangannya pembaruan data perusahaannya lama sekali. saya sekarang melihat data salah satu emiten di akhir bulan pertama Q1 2026, tp data emiten yg d tampilkan di Stockbit Q2 2025"
bagus untuk pemula memang hanya masalah withdraw saja yang harus menunggu sekitar 3 hari tapi not bad lah sejauh ini sudah bagus aplikasinya dan mudah dimengerti
"Kak,akun saya menunggu di verifikasi lama banget, padahal di tulisannya 3 hari kerja tapi ini dah 1 Minggu lebih blm ada konfirmasi selanjutnya. saya ingin berinvestasi tolong dibantu adanya problem ini kak"
saya baru kali ini kehilangan saldo hasil dari saham padahal saya belum memencet tombol lanjut dan ga ada pemberitahuan melalui email kalau udah di ACC biasanya ada dari email hadeh gmna ini .? awalnya saldo saya itu di menu withdraw tapi belum saya proses lanjut saldo withdraw saya berkurang.?
"Pertahankan integritasnya , Salam sukses untuk stockbit! Ada PR baru untuk team, yaitu trusted divices harus bisa double atau lebih karena kita pakai multiple perangkat."
"aplikasi bagus ,aku gak aktifin fitur trust device jadi ga ada kendala , liat komen orang lain sepertinya banyak yang punya masalah login"
"kalian yg pemula, or udah lama pakai broker ini, saranku gk usah di pakai, cari broker lain yg gk error terus, ini apk perawatan sistem malam doang pas pagi masih error"
Makasi min telah membantu keluhan saya. saran saja disini kita perlu improve terkait cal-CS untuk kedepannya agar lebih cepat -H 1 agar pengguna tidak lama menunggu. salam rispek🫡
"kasih bintang 1 dulu karena udah mau seminggu daftar belum di acc parah lelet.. Update, karena sudah Acc saya kasih bintang 5 😂"
"sebenernya sudah bagus si untuk fitur²nya, tapi untuk withdraw harus tunggu 3 hari, oiya min android bikinin widget pemantauan saham dong min kaya di IOS"
"sudah lebih dari 3 hari tapi dana dari penjualan saham saya belum juga masuk ke rdn, maksud apa ya? walaupun kecil jumlahnya itu juga uang, dan saya belum bisa withdraw"
"tolong update min order bidnya secara visual kurang menarik orang susah bacanya kalo cuman angka aja, kasih tampilan kayak order bid mirip exchange lokal kripto"
bagaimana ini kok verifikasi gagal terus semua sdh sesuai tapi d bilang nama belum sesuai kontak sudah di hubungi tapi tak ada balasan
"saya kurangin Bintangnya,jual saham, sudah terjual tp dana masih di simpan di trading Balance lama kali masuk ke RDN,cukup Bintang satu,nanti kalau sudah sat set saya tambahin lagi bintangnya"
"saya sudah daftar, tapi ketika login kok salah mulu, padahal sudah betul input email dan password nya."
"ni apk lelet dri segi pelayannannya,sama beberapa kali mau verifikasi aja ga kekirim""kodenya di email udah di cek berkala juga tetep nihil"
"login ganti hp di persulit, aneh padahal sebelumnya gampang tidak di persulit, cs nya juga lama penanganan nya lambat"
"kanapa pilihan BANKnya cuma dua pilihan? tolong Update dong, masa apkli kasih lain bisa lengkap semua BANK nya, sampai akun walet masuk... ini kok cuma mentok di dua Akun BANK.. cape deh"
aplikasi sudah bagus namun nggak ada widget nya tolong update supaya bisa pasang widget dong !!!
aku sebagai orang awam yang baru terjun kedunia investasi sangat semangat jadi pengguna (xl) aplikasi ramah buat pemula dan mudah dipahami 😁
ini akun saya kok tiba tiba keluar sendiri gak bisa login kembali dan di coba beberapa kali malah di blokir...ini no CS mana ya???
Alhamdulillah semua fiturnya lengkap dan mudah untuk di pahami
semakin di update semakin kurang lengkap menunya udah di update mlh GK ada prev nya di olderbook nya aneh
lagi berusaha cari cuan disini #terbaru:itu pencairan setelah jual saham knp lama sekali semenjak Jumat sampai Selasa gak cair2/gak bisa di wthdraw harus dipercepat ritel kecil kek saya butuh duit cepet muter...... #karena setelah komplen langsung cair bintang saya tambah
"saya harap stockbit memperbaiki sistem WD harusnya bisa masuk rekening pada hari yang sama seperti saat deposit, karena pasti ada pengguna yang melakukan WD karena keperluan mendadak/darurat harap pertimbangkan untuk lebih likuid kedepan nya ya🫶🏻"
Aplikasi ini bagus...saking bagus....banyak bug nya..
"Good bye stockbit, tidak ada progres masalah error padahal maintenance setiap hari, sering maintenance, sering juga error nya, memang murah biaya fee, tetapi harga tidak bisa dibohongi, biaya fee murah sesuai dengan kualitas nya (sering error), Terimakasih."
"kecewa dengan platform ini. udah CS nya lemot banget gada tanggapan sama sekali. Padahal cuma mau nanyain soal withdrawal, Kenapa tampilan T+ nya msih T+0 terus padahal sudah berhari-hari. harusnya udah bisa di tarik itu duitnya. Emang ga bnyak. ga sampe puluhan juta atau bahkan miliaran. tapi seenggaknya itu juga uang pribadi yang di kumpulkan dari hasil kerja di luaran. Tolong untuk pihak Dev untuk di maksimalkan lagi kerja nya. Kecewa berat !!!"
"Kecewa banget sama stockbit, dana saya baru bisa ditarik pas jam perdagangan sesi 2, padahal hari ini udah T+0, akibatnya saya ga bisa ikut IPO. Orderan saya juga di e IPO tiba-tiba dibatalin sama stockbit secara sepihak, ga profesional banget customer service nya, keluhan saya ga pernah direspon dari awal jam perdagangan."
"di sini harus bayar pro, di ajaib sudah gratis fitur pro sudah ada semua"
"Verif akun yang sangat rumit padahal sudah isi data lengkap serta antri lama dan minta dokumen tambahan yang jelas"" gak nyambung. Sudah dikasih tetap aja minta dokumen tambahan padahal sudah disepakati hanya butuh 1 tambahan saja dan tetap minta tambahan. Waktu nya terbuang hanya untuk mengurus dokumen diluar,nanti juga minta tambah lagi tambah lagi sekalian aja minta akta tanah sama silsilah keluarga cs cerdas"
tidak bisa d buka setelah update.loading terus.
"aplikasi error trs, tiba2 keluar sendiri dan gak bisa login, chat gak ada solusi"
"Metode nya sederhana dan dapat dipelajari, menu nya tidak ribet, pencairan sesuai penanggalan tepat waktu, smoga saja tak ada kasus kehilangan dana nasabah di apk stockbit dengan tiba tiba."
"baru mau daftar aja udah gak bisa, setiap mau buat username mesti keterangan format tidak sesuai, padahal udah gonta - ganti nama sampai pake kombinasi angka huruf besar kecil, tapi di keterangan gk ditulisin format tidak sesuai karena apanya, payahhh. 👎"
"Halo stockbit,akun saya sudah 1 minggu kenapa ya belum terverifikasi? Semua data yang salah sudah saya betulkan tapi sudah 1 minggu belum terberifikasi ya? Di akun ""3 hari kerja"" chat cs katanya ganti 5 hari.Udah 1 minggu belum terverifikasi juga"
"mau hapus acun saja susah banget, tidak ada menu untuk hapus acun..aplikasi kurang berkwalitas.. sudah menghubungi customer support ,bilangnya kurang lebih 1 jam akan di respon tapi kenyataanya sudah 24 jam lebih gak di respon.. untuk semuanya orang, kalian boleh download aplikasi ini tapi jangan buat acun di sekuritas ini..efeknya nanti kalo ingin hapus acun kalian tidak bisa..."
"sengaja saya kasih bintang 1, saya nanya ada kendala pendaftaran karna ssebelumnya sudah terdaftar tapi akunnya yang lama sudah lupa, saya bikin yang baru terus saya chat csnya balesannya lama bangeeeet, setiap saya tanya jawabannya sedang dalam pengecekan terus sampai sekarang udah 2 hari"
"Maintenance aplikasi sangat tidak jelas ya! tadi saya buka saat jam 1 malam, katanya dapat dibuka jam 2 pas lalu saya buka lagi nambah 30menit, lalu saya tunggu lagi ke 30menitnya nambah lagi ke jam 3 terus saya coba lagi sampe jam 3, masih aja harus nunggu sampe jam 3 30. SUMPAH ini aplikasih ngerjain gua. please lah sesuai kata kata.. kalo maintenance ga bisa sampe 2 jam-an tulis aja, biar ga bikin sakit hati... Saya kasih bintang 2 dulu.. kalo masalah ini terselesaikan, baru saya kasih 4 star"
"lah gua verifikasi udah 1 lebih belum selesai"" juga, permasalahannya juga gak di bilang emang kalau ada salah nik/email kan bisa registrasi ulang,ini bukan malah di kasih link cara ubah email akun yang udah di verivikasi hadeuhhhhhh"
"aplikasi lengkap dengan fitur,namun saat tahap awal yaitu verifikasi terbilang cukup lambat karena ada lonjakan verifikasi.namun seharusnya dari pihak stockbit bisa mengakali agar waktu pengguna yg menunggu tidak disia siakan."
Bagusssss🔥🔥🔥🔥 Fitunya banyak dan mudah dipahami bagi para pemula Saran: Tambahkan fitur pasar nego dan pasar tunai supaya lebih memudahkan bertransaksi bagi yang bermasalah min... Terima Kasih dan ditunggu update-annya👍
3 hari baru masuk dana penjualan saham. Di App IPOT bisa masuk dijam yang sama dan dapat langsung ditarik. Kalau butuh uang cepat di APP ini wasalam saja tunggu 3 hari. Nyesal pakainya.
"Kepada yth, pengelola aplikasi stockbit, banyak pengguna stockbit yang dirugikan dalam 2 hari ini karena sistem error saat open market. bahkan sampai setengah jm lebih. Gabisa transaksi, gabisa buka porto. hanya bisa mantengin chart naik turun. Pengguna2 yg trading dengan BSJP (Beli sore jual pagi) dalam hal ini dirugikan. yg tdnya udh pasang strategi mau TP, malah jd rungkad. Kasih dispensasi fee. Banyak org yg BSJP (Beli sore jual pagi) tapi malah jd rungkad gara2 sistem error."
salah satu aplikasi saham yg mudah digunakan.mudah dimengerti. fitur nya cukup lengkap dan detail.. cocok untuk pemula yg ini belajar trading atau investasi saham..admin nya juga ok sering update tentang informasi pasar modal
"Tiap Jam 12 malam maintance. Pegawai atau pekerja bisanya pasang order limit analisa jam 12 malam ke atas, beda sama AJAIB tidak ada main tennis. Pasang order limit jam berapa saja bisa."
"sementara bintang 1 dulu, dari tanggal 15 Maret sampe sekarang belum ada kejelasan, time response CS nya buruk banget. CS nya bisa diperbaiki lagi"
"UI/UX paling juara dibanding sekuritas lain di Indonesia. Chartbit-nya powerfull banget buat technical. One and only, ada banyak sekuritas, tapi hanya stockbit yang punya tempat spesial dihati, semoga kedepannya selalu up to date untuk versi mobile & desktop nya🥰"
bintang 5 bukan karena bagus.tapi aplikasi sok pengamanan tp masalah sinpel kirin OTP aja lewat email plus wa. mana lewat wa nya bodoh lemot banget
"aplikasi stockbit sangat parah,terutama dalam CS nya,saya punya masalah dalam pengiriman pesan di stream nya,saya sudah mengirimkan semua berkas/ perstaratannya,tapi tidak kunjung diselesaikan juga,dan sampe saya sudah berulang kali kirim pesan ke CS nya,dan nunggu sudah lebih 2 bulan,dan tetap tidak teratasi juga"
ini apk yang sangat aku rekom buat para investor khususnya yang baru main karena ada virtual trading buat kita belajar juga
"apk ini tidak ada aset saham yang udah lossere agak kita tau lebih tau saham yang udah penurunan berat terjadi, apakah tidak ada atau tidak di berikan tau"
"sudah bagus, terus tingkatkan kualitas agar menjadi top 1 sekuritas"
alhamdulilah setelah saya baca banyak komplain. langsung saya copot pemasangan aplikasi ini.
Untuk deposit seharusnya ditambahkan pembayaran melalui Qris.
"Pengalaman hr ini kurang menyenangkan. Seharusnya gain, malah jd loss karena sistem ngeblank. Mau jual, gak muncul tombol sell nya. Pas udah muncul, harga udah di bawah average."
"Aku sangat puas dengan Stockbit! 💖 Pelayanan yang responsif, update informasi yang cepat, dan fitur yang lengkap banget. Sangat recommended buat investor saham! 👍 Stockbit adalah aplikasi Favorit aku🚀🚀"
"tolong di perbaiki dengan sungguh"", setiap pembukaan market kenapa akhir"" ini sering eror padahal sinyal bagus ,di fortofolio rdn tiba"" ilang tidak bisa buat transaksi, jangan main"" ini menyangkut uang orang banyak, jadi diperbaiki secepat mungkin,"
Aplikasi trading dengan fitur2 cukup lengkap dan familiar sehingga mudah digunakan dan cukup membantu dlm membuat keputusan.. baik teknikal maupun Funda plus screener yg bisa di setting pokoknya sangat menyenangkan mestinya.
"tolong ini pendaftarannya emng eror atau cs nya yg bermasalah, padahal udah daftar, terus pas uda ada otp whatsapp, udah jadi, tapi pas mau login ulang kok gada akun nya (gmail belum terdaftar) padahal udah daftar. terus udah coba lupa sandi pun otp gmail ga muncul muncul, udah minta otp sampai 5 kali ga muncul. terus saya coba daftar lagi baru (pakai gmail baru), ehh nomor telepon yang sama pas saya daftar pertama uda ke daftar, ini gimana sii tolong, kok bisa kayak gini"
